"job_title","company_name","job_city","job_state","min_salary_k","max_salary_k","avg_salary_k","rating","company_age","python_yn","sql_yn","excel_yn","tableau_yn","industry","sector","revenue"
"Senior Data Analyst","Novetta","Herndon","VA",138,158,148,"4.5",12,1,1,1,0,"Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)"
"Information Systems Engineering Specialist (Engineering Scientist)","Applied Research Laboratories","Austin","TX",138,158,148,"3.8",NULL,1,0,0,0,"Colleges & Universities","Education","Unknown / Non-Applicable"
"Cloud Data Engineer (Azure)","Navy Federal Credit Union","Merrifield","VA",138,158,148,"3.9",91,0,1,0,1,"Banks & Credit Unions","Finance","Unknown / Non-Applicable"
"Scientist/Research Associate-Metabolic Engineering","Conagen","New Bedford","MA",138,158,148,"2.0",NULL,0,0,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Vice President, Biometrics and Clinical Data Management","Alector","South San Francisco","CA",138,158,148,"4.8",11,0,0,1,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Enterprise Data Analyst (Enterprise Portfolio Management Office)","Navy Federal Credit Union","Merrifield","VA",138,158,148,"3.9",91,0,1,0,1,"Banks & Credit Unions","Finance","Unknown / Non-Applicable"
"Senior Scientist - Toxicologist - Product Integrity (Stewardship)","Reynolds American","Winston-Salem","NC",138,158,148,"3.3",149,0,0,1,0,"Consumer Products Manufacturing","Manufacturing","$10+ billion (USD)"
"Lead Data Scientist – Network Analysis and Control","MITRE","Bedford","MA",138,158,148,"3.3",66,1,1,1,0,"Federal Agencies","Government","$1 to $2 billion (USD)"
"Senior Machine Learning Engineer","LifeOmic","Raleigh","NC",138,158,148,"5.0",8,0,0,0,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Sr. Research Associate/ Scientist, NGS prep & Molecular Genomics","Homology Medicines, Inc.","New Bedford","MA",138,158,148,"4.4",NULL,0,0,0,0,"-1","-1","Unknown / Non-Applicable"
"Data Engineer","Spectrum Communications and Consulting","Chicago","IL",138,158,148,"3.4",32,1,1,0,0,"Advertising & Marketing","Business Services","$10 to $25 million (USD)"
"Developer III - Data Science","Inland Empire Health Plan","Rancho Cucamonga","CA",138,158,148,"3.3",28,0,1,1,1,"Health Care Services & Hospitals","Health Care","$1 to $2 billion (USD)"
"Senior Data Engineer","Affinity Solutions","New York","NY",138,158,148,"2.9",26,1,1,0,1,"Advertising & Marketing","Business Services","Unknown / Non-Applicable"
"Hydrogen/Tritium Materials Scientist (Experienced)","Sandia National Laboratories","Livermore","CA",138,158,148,"3.8",75,0,0,0,0,"Federal Agencies","Government","$2 to $5 billion (USD)"
"Data Engineer","Maxar Technologies","McLean","VA",138,158,148,"3.5",NULL,1,1,0,0,"Aerospace & Defense","Aerospace & Defense","$2 to $5 billion (USD)"
"Patient Safety- Associate Data Scientist","AstraZeneca","Gaithersburg","MD",80,132,106,"4.0",111,1,1,1,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Senior Data Scientist","Autodesk","San Francisco","CA",80,132,106,"4.0",42,1,1,0,0,"Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)"
"Data Scientist","USI","Southfield","MI",80,132,106,"3.4",26,1,1,1,0,"Construction","Construction, Repair & Maintenance","$100 to $500 million (USD)"
"Data Scientist","GSK","Collegeville","PA",80,132,106,"3.9",194,1,1,0,1,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Data Scientist","CIA","Washington","DC",80,132,106,"3.8",77,0,0,0,0,"Federal Agencies","Government","Unknown / Non-Applicable"
"Data Scientist","Maven Wave Partners","Chicago","IL",80,132,106,"4.5",16,1,1,1,1,"Consulting","Business Services","$50 to $100 million (USD)"
"Data Scientist","Ovative Group","Minneapolis","MN",80,132,106,"4.3",15,1,0,0,0,"Advertising & Marketing","Business Services","$10 to $25 million (USD)"
"Data Scientist","Kognetics","Gahanna","OH",80,132,106,"3.6",NULL,1,1,1,0,"-1","-1","Unknown / Non-Applicable"
"Data Scientist","Envision Healthcare","Nashville","TN",80,132,106,"2.9",19,1,1,1,1,"Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable"
"Data Scientist","Pragmatics, Inc.","United States","",80,132,106,"2.9",39,1,0,0,0,"IT Services","Information Technology","$100 to $500 million (USD)"
"Data Scientist","ConsumerTrack","California","",80,132,106,"3.2",20,1,1,1,1,"Internet","Information Technology","$25 to $50 million (USD)"
"Decision Scientist","Johns Hopkins University Applied Physics Laboratory","Laurel","MD",80,132,106,"4.5",82,0,0,1,0,"Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)"
"Data Scientist - TS/SCI FSP or CI Required","Phoenix Operations Group","Annapolis Junction","MD",80,132,106,"5.0",13,1,0,0,0,"IT Services","Information Technology","$1 to $5 million (USD)"
"Data Scientist","Crossover Health","San Clemente","CA",80,132,106,"3.5",14,1,0,1,1,"Health Care Services & Hospitals","Health Care","$1 to $5 million (USD)"
"Data Scientist","Lorven Technologies Inc","New York","NY",80,132,106,"4.0",NULL,1,1,0,0,"Accounting","Accounting & Legal","Less than $1 million (USD)"
"Data Scientist","Meridian Knowledge Solutions","Washington","DC",80,132,106,"4.4",27,0,0,1,0,"Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)"
"Data Scientist","UST Global","Atlanta","GA",80,132,106,"4.2",25,1,1,1,0,"IT Services","Information Technology","$1 to $2 billion (USD)"
"Data Scientist","IMG Systems","Plano","TX",80,132,106,"3.2",NULL,1,0,0,0,"Consulting","Business Services","$1 to $5 million (USD)"
"Data Scientist","Trident Systems Inc","Fairfax","VA",80,132,106,"3.4",39,0,0,0,0,"Aerospace & Defense","Aerospace & Defense","$25 to $50 million (USD)"
"Data Scientist","Tygart Technology, Inc","Washington","DC",80,132,106,"4.7",NULL,1,1,1,0,"-1","-1","$1 to $5 million (USD)"
"(Sr.) Data Scientist -","Merrick Bank","Utah","",87,141,114,"3.6",27,1,1,1,0,"Banks & Credit Unions","Finance","Unknown / Non-Applicable"
"Senior Data Scientist","ManTech","Alexandria","VA",87,141,114,"4.2",56,1,1,0,1,"Research & Development","Business Services","$1 to $2 billion (USD)"
"Data Scientist","GrainBridge, LLC","Omaha","NE",87,141,114,"-1",NULL,1,1,1,0,"-1","-1","-1"
"Data Scientist","First Health Group","Wellesley","MA",87,141,114,"3.2",171,0,0,0,0,"Insurance Carriers","Insurance","$10+ billion (USD)"
"Data Scientist","Sprezzatura Management Consulting","Washington","VA",87,141,114,"-1",NULL,0,0,1,0,"-1","-1","Unknown / Non-Applicable"
"Data Scientist","Progress Rail, A Caterpillar Company","Fort Worth","TX",87,141,114,"2.8",41,1,1,1,0,"Rail","Transportation & Logistics","$2 to $5 billion (USD)"
"Data Scientist","UST Global","Atlanta","GA",87,141,114,"4.2",25,1,1,1,0,"IT Services","Information Technology","$1 to $2 billion (USD)"
"Data Scientist","Axiologic Solutions","Alexandria","VA",87,141,114,"4.5",15,0,0,0,0,"Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable"
"Data Scientist","Indigo Slate","Bellevue","WA",87,141,114,"3.0",18,1,1,0,0,"Consulting","Business Services","$10 to $25 million (USD)"
"Data Scientist","Cubic","United States","",87,141,114,"3.3",73,1,1,1,0,"Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)"
"Data Scientist","Advanced Bio-Logic Solutions Corp","Thousand Oaks","CA",87,141,114,"4.0",NULL,1,1,0,0,"-1","-1","Less than $1 million (USD)"
"Data Engineer","Alignment Healthcare","Orange","CA",87,141,114,"3.5",11,0,1,1,1,"Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable"
"Data Scientist","WGSN","Baltimore","MD",87,141,114,"3.5",26,1,1,1,1,"Consulting","Business Services","$50 to $100 million (USD)"
"Data Scientist","ISYS Technologies, Inc.","Herndon","VA",87,141,114,"3.6",34,1,1,0,1,"Computer Hardware & Software","Information Technology","$10 to $25 million (USD)"
"Data Scientist","TransVoyant","Alexandria","VA",87,141,114,"3.0",12,0,0,0,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Data Scientist/Data Analytics Practitioner","Noblis","Bridgeport","WV",87,141,114,"4.0",28,1,0,0,0,"Consulting","Business Services","$100 to $500 million (USD)"
"Data Scientist","Murray Resources","The Woodlands","TX",87,141,114,"4.6",36,1,1,1,1,"Staffing & Outsourcing","Business Services","$10 to $25 million (USD)"
"Data Scientist","Geotab","Oakville","CA",87,141,114,"4.3",24,1,1,1,0,"Computer Hardware & Software","Information Technology","$100 to $500 million (USD)"
"Data Scientist","CRS Group","Chicago","IL",87,141,114,"4.7",30,0,0,0,0,"Staffing & Outsourcing","Business Services","$10 to $25 million (USD)"
"Data Scientist","EGlobalTech","Arlington","VA",87,141,114,"3.7",20,1,0,1,0,"IT Services","Information Technology","Unknown / Non-Applicable"
"Data Scientist, Kinship - NYC/Portland","Mars","New York","NY",92,155,123,"3.9",113,1,0,0,0,"Food & Beverage Manufacturing","Manufacturing","$10+ billion (USD)"
"Data Scientist","Avlino","New Jersey","",92,155,123,"4.9",11,1,0,0,0,"Enterprise Software & Network Solutions","Information Technology","Less than $1 million (USD)"
"Data Scientist","Central Business Solutions, Inc","Seattle","WA",92,155,123,"3.0",NULL,1,1,1,0,"Consulting","Business Services","$5 to $10 million (USD)"
"Data Scientist","KeHE Distributors","Naperville","IL",92,155,123,"2.5",70,1,1,1,1,"Wholesale","Business Services","Unknown / Non-Applicable"
